id,smiles,notes,params_json
3161722,C1=CC=NC(=C1)C2=NC(=NN2)SCC(=O)NC3=C(C=C(C=C3)Cl)Cl,,
3161723,COC1=CC=C(C=C1)NC(=O)CSC2=NNC(=N2)C3=CC=CC=N3,,
3384280,C1=CC=NC(=C1)C2=NC3=C(N2)C=C(C=C3)NC(=O)C4=CC=C(C=C4)N,,
3456789,C1=CC=NC(=C1)C2=NC3=C(N2)C=C(C=C3)NC(=O)C4=CC(=CC=C4)[N+](=O)[O-],,
3481494,C1=CC=C2C(=C1)C=CN=C2C(=N)N,,
3483587,C1=CC=NC(=C1)C2=NC3=C(N2)C=C(C=C3)NC(=O)C4=CC=C(C=C4)[N+](=O)[O-],,
3527123,C1=CC=C2C(=C1)C=CC(=N2)C(=N)N,,
3532439,CC1=CC2=C(C=C1)N=C(N2)C3=NC(=CC=C3)C4=NC5=C(N4)C=C(C=C5)C,,
3620212,C[N+]1=CC=CC=C1C2=NC3=CC=CC=C3N2,,
3632531,C1=CC=NC(=C1)C2=[NH+]C(=C(C(=O)N2)C#N)OCCO,,
3656709,COC1=C(C=CC(=C1)C=NNC(=O)C[N+]2=C(NC3=CC=CC=C32)C4=CC=CC=N4)O,,
3656710,C1OC2=C(O1)C=C(C=C2)C=NNC(=O)C[N+]3=C(NC4=CC=CC=C43)C5=CC=CC=N5,,
3753782,C1=CC=C(C=C1)C2=CC(=[N+](C(=C2)C3=NC4=CC=CC=C4N3)C5=CC=CC=N5)C6=CC=CC=C6,,
3776156,C1=CC=C(C=C1)C2=CC(=[N+](C(=C2)C3=[NH+]C4=CC=CC=C4N3)C5=CC=C(C=C5)Cl)C6=CC=CC=C6,,
3776157,C1=CC=C(C=C1)C2=CC(=[N+](C(=C2)C3=NC4=CC=CC=C4N3)C5=CC=C(C=C5)Cl)C6=CC=CC=C6,,
3845881,C1=CC=C(C=C1)C2=CC(=NC(=C2)C3=[N+](C4=CC=CC=C4N3)C5=CC=C(C=C5)Cl)C6=CC=CC=C6,,
3967712,C1=CC=C(C=C1)C2=CC(=NC3=C2C=C(C=C3)Cl)C4=NC5=CC=CC=C5N4,,
3988512,COC1=CC=CC(=C1[O-])C=NNC(=O)C[N+]2=C(NC3=CC=CC=C32)C4=CC=CC=N4,,
4063108,CC(=C)NNC(=O)C[N+]1=C(NC2=CC=CC=C21)C3=CC=CC=N3,,
4118150,CN(C)C=C(C#N)C1=NNC(=N1)C2=CC=CC=N2,,
4126197,CC1=CC2=C(C=C1)N=C(N2)C3=NC4=CC=CC=C4C=C3,,
4131179,CCOC1=CC2=C(C=C1)N=C(N2)C3=CC=CC=N3,,
4174988,C1=CC=C2C(=C1)NC(=N2)C3=CC=CC=[NH+]3,,
4268760,C1=CC=C(C=C1)C2=CC(=NC(=C2)C3=NC4=CC=CC=C4N3)C5=CC=CC=C5,,
4302118,C1=CC=C(C=C1)CN2C3=C(C(=O)NC2=O)C([NH+]=C(N3)C4=CC=CC=N4)(C(F)(F)F)C(F)(F)F,,
4413430,C1=CC=C(C=C1)CNC(=O)C[N+]2=C(NC3=CC=CC=C32)C4=CC=CC=N4,,
4532209,C1=CC=C2C(=C1)C=CC(=N2)C3=NC4=C(N3)C=CC=N4,,
4587646,CC1=NC(=CC=C1)C2=NC3=C(N2)C=NC=C3,,
4730452,C1=CC=NC(=C1)C2=NC(=NN2)C3=CC(=CC(=C3)[N+](=O)[O-])[N+](=O)[O-],,
4730453,C1=CC=C(C=C1)C2=NC3=CC=CC=C3C(=C2)C4=NNC(=N4)C5=CC=CC=N5,,
4730454,C1=CC=C2C(=C1)C(=CC(=N2)C3=CC=C(C=C3)Br)C4=NNC(=N4)C5=CC=CC=N5,,
4740317,C1=CC=NC(=C1)C2=[N+](C(=NN2)C3=CC=CC=N3)C4=CC=CC=N4,,
4745281,CCOC(=O)C[N+]1=C(NC2=CC=CC=C21)C3=CC=CC=N3,,
4917924,C[N+]1=C(NN=C1SCC(=O)[O-])C2=CC=CC=N2,,
4917925,C[N+]1=C(NN=C1SCC(=O)O)C2=CC=CC=N2,,
4920138,C1=CC=NC(=C1)C2=[N+](C(=NN2)SCC(=O)[O-])CC3=CC=CO3,,
4920139,C1=CC=NC(=C1)C2=[N+](C(=NN2)SCC(=O)O)CC3=CC=CO3,,
4977881,C=CC[N+]1=C(NN=C1SCC(=O)[O-])C2=CC=CC=N2,,
4977882,C=CC[N+]1=C(NN=C1SCC(=O)O)C2=CC=CC=N2,,
4983998,C1=CC=NC(=C1)C2=NC3=C(N2)C=C(C=C3)O,,
4989010,C1=CC=[NH+]C(=C1)C2=NC3=C(N2)C=C(C=C3)CC4=CC5=C(C=C4)N=C(N5)C6=CC=CC=N6,,
5064248,C1=CC=NC(=C1)C2=NC(=C(N2)C3=CC=C(C=C3)Br)C4=CC=C(C=C4)Br,,
5069411,C1=CC=C2C=NC(=CC2=C1)C(=N)N,,
5162105,C1=CC=C2C(=C1)C=CC(=N2)C3=NC4=C(N3)C=C(C=C4)[N+](=O)[O-],,
5189090,C1=CC=NC(=C1)C2=NC3=C(N2)C=C(C=C3)C4=CC5=C(C=C4)N=C(N5)C6=CC=CC=N6,,
5220165,C1=CC=NC(=C1)C2=NC3=C(N2)C=C(C=C3)OC4=CC5=C(C=C4)N=C(N5)C6=CC=CC=N6,,
5232600,COC1=CC(=C(C=C1)OC)C2=NNC(=N2)C3=CC=CC=N3,,
5232601,COC1=CC(=C(C=C1C2=NNC(=N2)C3=CC=CC=N3)OC)C4=NNC(=N4)C5=CC=CC=N5,,
5257823,C1=CC=NC(=C1)C2=[NH+]C(=NN2)C3=CC=CC=N3,,
5274836,C1=CC=NC(=C1)C2=NC3=C(C=CC=C3N2)C(=O)N,,
5274837,C1=CC=C(C=C1)NC(=O)C2=C3C(=CC=C2)NC(=N3)C4=CC=CC=N4,,
5274838,C1=CC=C(C(=C1)NC(=O)C2=C3C(=CC=C2)NC(=N3)C4=CC=CC=N4)F,,
5274839,C1=CC=NC(=C1)C2=NC3=C(C=CC=C3N2)C(=O)NCCO,,
5472425,C1=CC=C2C(=C1)NC(=N2)C3=CC(=O)C4=C(N3)N=C(C=C4C5=CC=C(C=C5)Cl)C6=NC7=CC=CC=C7N6,,
5472426,CSC1=CC=C(C=C1)C2=CC(=NC3=C2C(=O)C=C(N3)C4=NC5=CC=CC=C5N4)C6=NC7=CC=CC=C7N6,,
5472427,CN(C)C1=CC=C(C=C1)C2=CC(=NC3=C2C(=O)C=C(N3)C4=NC5=CC=CC=C5N4)C6=NC7=CC=CC=C7N6,,
